web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
"1609406769-3545","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=23","null","Neues Ufer 10, Moabit, Berlin","279.100 €","73,38 m²","2 Zi.2","Balkon/Terrasse","null","/expose/114416258"
"1609406281-2202","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=90","null","Stephanstraße 4, Steglitz, Berlin","399.000 €","89,84 m²","3 Zi.3","Balkon/Terrasse","null","/expose/115781771"
"1609406294-2253","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=88","null","Corinthstraße 43, Friedrichshain, Berlin","389.000 €","96,61 m²","3 Zi.3","null","null","/expose/116794763"
"1609406851-3708","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=15","null","Wilmersdorf, Berlin","1.100.000 €","129 m²","4 Zi.4","Balkon/Terrasse","Einbauküche","/expose/125367575"
"1609406673-3248","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=38","null","Detmolder Str. 3, Wilmersdorf, Berlin","1.100.000 €","182 m²","5 Zi.5","Balkon/Terrasse","Einbauküche","/expose/116389557"
"1609406496-2740","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=64","null","Brüsseler Straße 8/9, Wedding, Berlin","233.100 €","55,5 m²","2 Zi.2","Online-Besichtigung","Provisionsfrei*","/expose/124840082"
"1609406589-3018","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=50","null","Grunewald, Berlin","698.000 €","105 m²","2 Zi.2","Balkon/Terrasse","Gäste-WC","/expose/122118192"
"1609406359-2408","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=80","null","Wichertstraße 43, Prenzlauer Berg, Berlin","296.000 €","63,43 m²","2 Zi.2","Provisionsfrei*","null","/expose/123942228"
"1609406582-3000","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=51","null","Lenaustraße 23, Neukölln (Ortsteil), Berlin","259.136 €","63,64 m²","2 Zi.2","Online-Besichtigung","Balkon/Terrasse","/expose/120610460"
"1609406900-3857","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=8","NEU54 EAST","Gubener Straße 12, Friedrichshain, Berlin","180.000 - 444.000 €","35,00 - 70,00 m²","sofort","null","null","https://www.immobilienscout24.de/neubau/allmyhomes-gmbh/54-east/95507.html"
"1609406680-3271","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=37","Pohlestraße 9","Köpenick, Berlin","181.937 - 527.678 €","37,13 - 104,05 m²","4. Quartal 2021","Online-Besichtigung","null","https://www.immobilienscout24.de/neubau/bsk-immobilien-gmbh/pohlestrasse/90410.html"
"1609406667-3226","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=39","null","Mitte (Ortsteil), Berlin","127.500 €","30,14 m²","1 Zi.1","Provisionsfrei*","Aufzug","/expose/121997735"
