web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
1609153897-920,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=55,null,"Alt Moabit 73 A, Moabit, Berlin",515.00 €,119 m²,4 Zi.4,Provisionsfrei*,Balkon/Terrasse,/expose/112393632
1609153869-823,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=59,null,"Neu-Hohenschönhausen, Berlin",450.00 €,80 m²,4 Zi.4,Einbauküche,null,/expose/125287473
1609153653-181,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=91,null,"Pettenkoferstraße 2b, Friedrichshain, Berlin",166.00 €,38 m²,1 Zi.1,Provisionsfrei*,Keller,/expose/124531842
1609153796-627,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=69,null,"Friedrichshain, Berlin",1.600.000 €,"205,78 m²",8 Zi.8,Provisionsfrei*,Balkon/Terrasse,/expose/112381319
1609153993-1184,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=41,null,"Gohliser Straße XX, Hellersdorf, Berlin",295.00 €,98 m²,4 Zi.4,Online-Besichtigung,Einbauküche,/expose/115376789
1609153925-994,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=51,null,"Schöneberg, Berlin",2.250.000 €,194 m²,5 Zi.5,Balkon/Terrasse,Einbauküche,/expose/122418963
1609153606-44,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=98,null,"Lankwitz, Berlin",249.00 €,67 m²,2 Zi.2,Online-Besichtigung,Balkon/Terrasse,/expose/121355218
1609154117-1571,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=22,null,"Swinemünder Straße 9, Mitte (Ortsteil), Berlin",325.00 €,"63,52 m²",3 Zi.3,Provisionsfrei*,Einbauküche,/expose/125248099
1609154129-1613,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=20,null,"Clayallee 228, Dahlem, Berlin",599.90 €,"120,4 m²",4 Zi.4,Provisionsfrei*,Balkon/Terrasse,/expose/124491096
1609154194-1792,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=11,NEUsiebenundneun.,"Moissistraße 9, Adlershof, Berlin",275.000 - 629.000 €,"48,00 - 114,00 m²",4. Quartal 2022,Online-Besichtigung,null,https://www.immobilienscout24.de/neubau/everestate/siebenundneun/96199.html
1609154067-1418,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=30,null,"Westfälische Straße 32, Halensee, Berlin",477.70 €,"74,64 m²",2 Zi.2,Online-Besichtigung,Provisionsfrei*,/expose/113780552
1609154150-1678,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=17,null,"Flemmingstraße 00, Köpenick, Berlin",350.00 €,"77,75 m²",3 Zi.3,Online-Besichtigung,Provisionsfrei*,/expose/124249303
1609153714-399,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=81,null,"Schöneberg, Berlin",1.431.500 €,"202,1 m²",5 Zi.5,Online-Besichtigung,Provisionsfrei*,/expose/121123132
